Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY
6.447412967681885,17.949798583984375,86.0264663696289,6.462174981633483,18.00644250353385,86.07200927859594,6.398306545031558,17.90574246887681,84.64494214824107,6.4299394895328,17.98756079687099,85.29775086957646,493729600,13870400,118944600
6.458558082580566,17.732664108276367,86.25418853759766,6.4950113965004,17.934065388812247,86.29214482342027,6.424514556071699,17.666579932076978,85.66210754318801,6.4651861041058405,17.89000807090682,85.97333287124833,601904800,23172400,111579900
6.355828285217285,17.726375579833984,86.3149185180664,6.484168111066933,17.76099025139381,86.52745982502934,6.349200261478226,17.61623405979634,86.10237721110347,6.458560239764379,17.732668283434354,86.17069157777745,552160000,19264600,116074400
6.344075679779053,17.68231773376465,86.67926025390625,6.386856141016522,17.73896166802486,86.78553088418276,6.297982012460056,17.54385545026158,85.91258860006997,6.379324298855953,17.72637506075325,86.15549372517557,477131200,13234600,131091100
6.386255264282227,17.355043411254883,86.96772003173828,6.386858214085341,17.509239856619473,87.00567631538661,6.298286134935385,17.229167733029577,86.27696084160178,6.335642475238813,17.45259592146203,86.45154584722621,447610800,28712400,126402800
6.32991886138916,17.707494735717773,87.08916473388672,6.416984568641295,17.764138674413317,87.39279180025315,6.279908219389333,17.244902969850674,86.71721173235223,6.410959093163081,17.35504449528735,87.35484131261488,462229600,28642400,106375700
6.257913589477539,17.89944839477539,86.2769546508789,6.31967389243089,17.93721060729939,86.69444478447501,6.218749215864552,17.641404408389718,85.94295791094973,6.302199615901173,17.650844661410947,86.51226737692971,594459600,23269800,163333500
6.346185684204102,17.946653366088867,87.00566864013672,6.354621348870986,18.072529025996147,87.24857377663699,6.148856614796813,17.839659415299458,86.0568195457895,6.262434400653872,17.89315699091379,86.497081124167,605892000,15157400,161822000
6.309432506561279,17.978124618530273,87.24097442626953,6.340463304326972,18.015886839975757,87.40038036648855,6.2970806835531015,17.86483675375445,86.8538424049863,6.329919124037263,17.949802652336317,86.90697771839264,432894000,12392600,115718800
6.203989505767822,17.713788986206055,86.26174926757812,6.374808133868416,18.047357520109628,87.17264187957294,6.202181862929589,17.635116980973773,85.9277526072335,6.354622788841472,17.921483032001696,87.08914850580078,594067600,27460800,212283100
6.478443145751953,17.75469398498535,87.33965301513672,6.482962252595114,17.776723246413315,87.39278832877167,6.243455623428057,17.597350006243804,86.22380563748789,6.276293259784264,17.691757353840167,86.24658287874415,730007600,14615400,139172700
6.378722667694092,17.46518325805664,86.45153045654297,6.493806007304127,17.745255374088508,86.87661295941247,6.311539836912131,17.399099068969452,85.76077138938004,6.474524892054024,17.672877281215957,86.74757088408633,612152800,18810200,216490200
6.268459320068359,17.10957908630371,84.78914642333984,6.426323557360995,17.49035231979119,86.73997978400108,6.24255058036858,17.052935173898597,84.68287579601315,6.389268090427775,17.480910867431035,86.47430321568434,608154400,27396800,344859600
5.957552433013916,17.068679809570312,82.8990249633789,6.251287520223154,17.26378605815323,84.81949409368283,5.9397780850866235,16.986860246963552,82.80793338964048,6.229596613293212,17.103294485584367,84.40959069883047,881767600,23551400,345942400
6.117825031280518,17.103282928466797,83.32411193847656,6.1669310353058595,17.16307438391675,83.8099279002785,6.031060217094313,16.95538046597839,83.05084878497692,6.100954106361939,17.147340232644215,83.65810860242975,1065699600,16853200,186937500
6.20428991317749,17.037208557128906,82.97492218017578,6.438374398988701,17.150496432053153,83.85545658454855,6.103064341780354,16.952242650935723,82.7699734019514,6.204591186941792,17.015180492609133,82.99769362316593,1867110000,15515000,211168800
6.262735366821289,17.153636932373047,83.36965942382812,6.3440768639308365,17.20084059763554,83.5594291999228,6.011177020753042,16.898740501184992,82.23104076726007,6.231704573562263,16.993146631270903,82.86866443510748,1722568400,20414800,271863600
6.003946781158447,17.04979705810547,82.41324615478516,6.191033750758287,17.257491103756518,83.68849971543489,5.98617243502413,17.034062897157874,81.91225678702058,6.173861952102057,17.216581324941142,83.6429568069061,1173502400,20905200,316104000
5.786132335662842,17.071823120117188,81.51750946044922,6.0916171344672545,17.28895739676787,83.34689299189802,5.731602983925352,16.961682805969605,81.38846739485633,6.0578752729396514,17.13161340487739,82.76999121629282,1245952400,22146800,310677600
5.866570472717285,17.112733840942383,82.78519439697266,5.904831441576426,17.169377777192093,82.79278681225563,5.763235970757864,16.993152064366384,81.60103243073382,5.795471463502268,17.15364241678093,82.09443518043868,749876400,14517600,187865000
5.9006123542785645,17.323564529418945,83.78714752197266,5.914470946397187,17.373914533410858,83.94655343525415,5.825898477507864,17.040346207128973,82.64852889169299,5.902119125221746,17.159926716335526,82.93698265113802,698342400,16888600,216327900
6.002138614654541,17.266925811767578,83.36965942382812,6.031361762555567,17.295247772548223,83.86306199993707,5.857229176704157,17.15993187108949,83.12675434207951,5.879824302924939,17.28265996765924,83.40760990425868,615328000,15899400,172730700
5.785830974578857,16.81378173828125,80.7964096069336,5.976231175493704,17.20714178044497,82.76242238593427,5.771369833232195,16.804341481409985,80.78122477646976,5.926823080361976,17.16623199993686,82.72447189240663,757652000,21342800,356715700
5.888561725616455,16.7067813873291,80.9634017944336,5.904830508555619,16.813775326010933,81.13039437753666,5.749677740994549,16.530555723488693,79.38451544342306,5.803303665472851,16.753985054562516,80.88748923055931,850306800,29285000,493585800
